input_triples : ['Abraham_A._Ribicoff | deathPlace | United_States', 'Abraham_A._Ribicoff | birthPlace | United_States', 'United_States | ethnicGroup | African_Americans']				
reference_text : Abraham A. Ribicoff was born and died in the United States where African Americans are an ethnic group.				
				
CycleGT-sup Generation : abraham a . ribicoff  was born in the  united states  where  african americans  are one of the ethnic groups .	no			
Sent-level factuality probability: 0.9905861616134644				
Prediction : [(['abraham', 'a', '.', 'ribicoff'], 'deathplace', ['united', 'states']), (['united', 'states'], 'ethnicgroup', ['african', 'americans'])]				
Gold : [(['abraham', 'a', '.', 'ribicoff'], 'birthplace', ['united', 'states']), (['united', 'states'], 'ethnicgroup', ['african', 'americans'])]				
				
				
input_triples : ['Pontiac_Rageous | assembly | Michigan', 'Pontiac_Rageous | assembly | Detroit', 'Pontiac_Rageous | productionEndYear | 1997']				
reference_text : The Pontiac Rageous assembled in Michigan with assembly line in Detroit was last produced in 1997.				
				
CycleGT-sup Generation : the  michigan  was assembled in  michigan  , which was assembled in  michigan  . it was assembled in  michigan  .	yes	yes	no	no
Sent-level factuality probability: 0.26081064343452454				
Prediction : []				
Gold : [(['pontiac', 'rageous'], 'assembly', ['michigan']), (['pontiac', 'rageous'], 'assembly', ['detroit']), (['pontiac', 'rageous'], 'productionendyear', ['1997'])]				
				
				
input_triples : ['Olga_Bondareva | professionalField | Economics']				
reference_text : Olga Bondareva currently works in the field of Economics.				
				
CycleGT-sup Generation : economics  is a professional illustrator in  economics  .	yes	yes	yes	yes
Sent-level factuality probability: 0.007467098534107208				
Prediction : []				
Gold : [(['olga', 'bondareva'], 'professionalfield', ['economics'])]				
				
				
input_triples : ['Expect_a_Miracle | genre | Easy_listening']				
reference_text : Expect a Miracle's genre is easy listening.				
				
CycleGT-sup Generation : expect a miracle  performs  easy listening  music .	yes	yes	no	no
Sent-level factuality probability: 0.31419044733047485				
Prediction : []				
Gold : [(['expect', 'a', 'miracle'], 'genre', ['easy', 'listening'])]				
				
				
input_triples : ['Mexico | currency | Mexican_peso', 'Mexico | demonym | Mexicans', 'Bionico | course | Dessert', 'Bionico | dishVariation | Honey', 'Bionico | country | Mexico']				
reference_text : Bionico is a dessert food that can be made with honey and is found in Mexico. Mexico is inhabited by Mexicans and their currency is the peso.				
				
CycleGT-sup Generation : bionico  is a  dessert  that can be found in  mexico  , where the currency is the  dessert  and the currency is the  mexican peso  . it can be found in  mexico  .	yes	yes	no	no
Sent-level factuality probability: 0.8041894435882568				
Prediction : [(['bionico'], 'country', ['mexico']), (['bionico'], 'course', ['dessert']), (['bionico'], 'dishvariation', ['honey'])]				
Gold : [(['mexico'], 'demonym', ['mexicans']), (['bionico'], 'country', ['mexico']), (['bionico'], 'course', ['dessert']), (['bionico'], 'dishvariation', ['honey'])]				
				
				
input_triples : ['Gdynia,_Poland | timeZone | Central_European_Summer_Time']				
reference_text : Gdynia, Poland follows the Central European Summer Time timezone.				
				
CycleGT-sup Generation : gdynia , poland  is in the  central european summer time  .	no			
Sent-level factuality probability: 0.8790881037712097				
Prediction : []				
Gold : [(['gdynia', ',', 'poland'], 'timezone', ['central', 'european', 'summer', 'time'])]				
				
				
input_triples : ['Super_Capers | starring | Danielle_Harris', 'Super_Capers | writer | Ray_Griggs_(director)', 'Super_Capers | runtime | 98.0']				
reference_text : Super Capers, a film written by Ray Griggs, is 98 minutes long. Danielle Harris was one of the stars of the movie.				
				
CycleGT-sup Generation : the  super capers  , which has a total area of  98 . 0  , is made from  super capers  and has a total area of  98 . 0  .	yes	yes	no	no
Sent-level factuality probability: 0.21184395253658295				
Prediction : []				
